Name,University,Place,Date,Type
Summer School of Computational Humanities,Universität Heidelberg,"Heidelberg,
Germany",,Summer School
Master's Degree in Management and Preservation of Digital R ...,Universitá della Calabria,"Rende,
Italy",6 Oct recurring,Master Programme
Edirom Summer School,Paderborn University,"Paderborn,
Germany",2 Sept recurring,Summer School
Digital History: Methoden und ihre Anwendung für die Geschi ...,Universität Duisburg-Essen,"Essen,
Germany",,Course
Informationsmodellierung in den Geisteswissenschaften (Info ...,Karl-Franzens-Universität Graz,"Graz,
Austria",1 Oct recurring,Module
LK Introduction to Digital Humanities,Universität Wien,"Vienna,
Austria",3 Oct recurring,Course
VO Introduction to Digital Humanities,Universität Wien,"Vienna,
Austria",3 Oct recurring,Course
DetailsShareMap
Fakultätsweites Basismodul: Digitale Geisteswissenschaften ...,Karl-Franzens-Universität Graz,"Graz,
Austria",2 Oct recurring,Course
"Doktoratsstudium ""Digitale Geisteswissenschaften"" (Doctoral ...",Karl-Franzens-Universität Graz,"Graz,
Austria",1 Oct recurring,PhD Programme
Konzeption und Analyse eines Korpus zur Klassischen Moderne ...,Universität Basel,"Basel,
Switzerland",3 Feb recurring,Master Programme
Textanalyse mit R,Universität Basel,"Basel,
Switzerland",2 Sept recurring,Master Programme
Digital Humanities,Julius-Maximilians-Universität Würzburg,"Würzburg,
Germany",1 Oct recurring,Bachelor Programme
Digital Humanities,Julius-Maximilians-Universität Würzburg,"Würzburg,
Germany",1 Oct recurring,Bachelor Programme
Digital Humanities,Julius-Maximilians-Universität Würzburg,"Würzburg,
Germany",1 Oct recurring,Bachelor Programme
Digital Humanities,Julius-Maximilians-Universität Würzburg,"Würzburg,
Germany",1 Oct recurring,Master Programme
Digital Humanities,Julius-Maximilians-Universität Würzburg,"Würzburg,
Germany",1 Oct recurring,Master Programme
"Museology, Museum Education, Cultural Management and New Te ...",Aristotle University of Thessaloniki,"Thessaloniki,
Greece",2 Sept recurring,Bachelor Programme
